sentences,choice_a,choice_b,instruct_1,instructloop.thisRepN,instructloop.thisTrialN,instructloop.thisN,instructloop.thisIndex,practice_instructloop.thisRepN,practice_instructloop.thisTrialN,practice_instructloop.thisN,practice_instructloop.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,present_reinforcement1.thisRepN,present_reinforcement1.thisTrialN,present_reinforcement1.thisN,present_reinforcement1.thisIndex,practice_VAT_trials.thisRepN,practice_VAT_trials.thisTrialN,practice_VAT_trials.thisN,practice_VAT_trials.thisIndex,r1_instruct.thisRepN,r1_instruct.thisTrialN,r1_instruct.thisN,r1_instruct.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,present_reinforcement.thisRepN,present_reinforcement.thisTrialN,present_reinforcement.thisN,present_reinforcement.thisIndex,explain.started,explain.stopped,participant code,instructions_text.started,instructions_text.stopped,intruct_resp.keys,intruct_resp.rt,intruct_resp.started,intruct_resp.stopped,text_2.started,text_2.stopped,practiceinstruct.started,practiceinstruct.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,return_2.started,return_2.stopped,input_text.started,input_text.stopped,end.keys,end.rt,end.started,end.stopped,hcountprac.started,hcountprac.stopped,practice round input,displayhcount.started,displayhcount.stopped,text_border.started,text_border.stopped,text_11.started,text_11.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_3.started,text_3.stopped,sentence_3.started,sentence_3.stopped,choice1_3.started,choice1_3.stopped,choice2_3.started,choice2_3.stopped,endchoice_3.keys,endchoice_3.rt,endchoice_3.started,endchoice_3.stopped,VATkeys.started,VATkeys.stopped,textinstruct.started,textinstruct.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,return_3.started,return_3.stopped,text_9.started,text_9.stopped,adjectives input,Hostage Count,Frequency of adjectives,end_2.keys,end_2.rt,end_2.started,end_2.stopped,red_alien_2.started,red_alien_2.stopped,showtimer_2.started,showtimer_2.stopped,actualhcount_2.started,actualhcount_2.stopped,displayhcount_3.started,displayhcount_3.stopped,textborder_2.started,textborder_2.stopped,hostage_4.started,hostage_4.stopped,sound_4.started,sound_4.stopped,releasenotify.started,releasenotify.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39570767400437,None,return,20.6950760250038,None,return,0.8477873179945163,20.6950760250038,None,20.6950760250038,None,22.652776269998867,None,return,0.3760043020010926,22.652776269998867,None,22.652776269998867,None,24.453135763993487,None,return,0.17659354998613708,24.453135763993487,None,24.453135763993487,None,,24.453135763993487,None,24.453135763993487,None,24.652371531003155,None,return,0.5865575789939612,24.652371531003155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
Catch ____ tree back,screen,drink,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.27399806000176,None,25.789459206993342,None,25.789459206993342,None,25.789459206993342,None,left,0.991395315999398,25.789459206993342,None,25.789459206993342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
Stars blow meet ____,castle,field,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.807751870001084,None,27.323094043997116,None,27.323094043997116,None,27.323094043997116,None,left,0.22479315499367658,27.323094043997116,None,27.323094043997116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
_____ school come pole,kick,water,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.569415474004927,None,28.074156417991617,None,28.074156417991617,None,28.074156417991617,None,left,0.2657252490025712,28.074156417991617,None,28.074156417991617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
Birds run ____ fault,green,disgusting,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.36928045199602,None,28.871598604004248,None,28.871598604004248,None,28.871598604004248,None,left,0.42387713700009044,28.871598604004248,None,28.871598604004248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,"Now that you have completed the practice task, you are ready to begin official communication with the Qiczox and Kivix commanders as the United States Interstellar Messenger and Decoder. You will need to communicate with the commanders by typing on your keyboard. Your messages need to be rapid, complete, and engaging. ",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.338254771995707,None,return,1.3293255850003334,29.338254771995707,None,29.338254771995707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,"They should only include letter and punctuation keys, with no special characters, number keys, or function keys. Once you decide that your message is complete, hit the return key to send it and then begin a new message. Remember that these are alien species, so they do not think in the same way you do. When you are ready to begin alien communication, press the return key. ",,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70110293799371,None,return,0.6604811059951317,30.70110293799371,None,30.70110293799371,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.399449513992295,None,Hello my name is hannah,0,0,['return'],[4.8970201589982025],31.399449513992295,None,31.399449513992295,None,31.399449513992295,None,31.399449513992295,None,31.399449513992295,None,31.399449513992295,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.50559413699375,None,the sky is beautiful,0,0,['return'],[3.7161898159974953],36.50559413699375,None,36.50559413699375,None,36.50559413699375,None,36.50559413699375,None,36.50559413699375,None,36.50559413699375,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.32086695400358,None,the pretty sky,0,0,['return'],[1.9898455639922759],40.32086695400358,None,40.32086695400358,None,40.32086695400358,None,40.32086695400358,None,40.32086695400358,None,40.32086695400358,None,,,,,,,,001,2021_Apr_05_1149,VERSION4,2020.2.10,59.85358639386375,
